成分1,成分2,Corr_高钾,Corr_铅钡,D=铅钡-高钾,|D|,p值(Fisher z)
五氧化二磷(P2O5),氧化锡(SnO2),0.2448678290530962,-0.10778189143369209,-0.3526497204867883,0.3526497204867883,0.22837978577803697
二氧化硅(SiO2),氧化钙(CaO),0.1750782272017515,-0.17708378440211636,-0.35216201160386784,0.35216201160386784,0.23135137271530493
氧化镁(MgO),氧化铜(CuO),-0.5515940405605367,-0.2000887756775437,0.35150526488299305,0.35150526488299305,0.15992699198042715
氧化铅(PbO),氧化锶(SrO),0.1237846840969876,-0.2154932951658506,-0.3392779792628382,0.3392779792628382,0.2481862576633742
氧化锶(SrO),二氧化硫(SO2),-0.24295877572551688,0.08286457750106688,0.32582335322658373,0.32582335322658373,0.2656483525935718
氧化镁(MgO),氧化铅(PbO),0.05500895604198776,-0.26357095448828927,-0.318579910530277,0.318579910530277,0.27435877475540416
二氧化硅(SiO2),氧化镁(MgO),-0.49379995193628473,-0.1765496863828396,0.31725026555344515,0.31725026555344515,0.22257942375788953
氧化钾(K2O),氧化钡(BaO),-0.38382212731613047,-0.07140298282948206,0.3124191444866484,0.3124191444866484,0.26271533154197435
二氧化硅(SiO2),五氧化二磷(P2O5),0.1650134688957603,-0.14010984543730748,-0.3051233143330678,0.3051233143330678,0.3009264609970641
氧化铝(Al2O3),氧化钡(BaO),-0.37439408574042665,-0.08626815611912046,0.2881259296213062,0.2881259296213062,0.3017650550753035
氧化铁(Fe2O3),五氧化二磷(P2O5),-0.16906254080831765,0.1006590037307091,0.26972154453902675,0.26972154453902675,0.36081958634875777
氧化钾(K2O),氧化铝(Al2O3),-0.17636284308654995,0.08895200164626794,0.2653148447328179,0.2653148447328179,0.36844969529450977
氧化钾(K2O),二氧化硫(SO2),0.1433503747785436,-0.117461538895992,-0.2608119136745356,0.2608119136745356,0.3775862335114504
氧化铅(PbO),氧化锡(SnO2),-0.30122556137959416,-0.04186146355872369,0.2593640978208705,0.2593640978208705,0.3656501650334878
氧化钾(K2O),氧化镁(MgO),-0.1658015811787441,0.08553571421865276,0.25133729539739685,0.25133729539739685,0.39465184938042186
氧化钙(CaO),氧化铁(Fe2O3),0.35766372864581936,0.1079594873593569,-0.24970424128646246,0.24970424128646246,0.37130668702759495
氧化钠(Na2O),氧化镁(MgO),-0.304917870924015,-0.06270412607906309,0.24221374484495192,0.24221374484495192,0.39642037688682885
二氧化硅(SiO2),氧化锶(SrO),-0.2731490436469726,-0.5093199530926436,-0.23617090944567093,0.23617090944567093,0.3436817880553935
氧化钠(Na2O),氧化铅(PbO),0.07894521489061124,-0.15531706304611703,-0.23426227793672827,0.23426227793672827,0.4279529517314069
氧化铁(Fe2O3),氧化锶(SrO),-0.34579577330865474,-0.11336684980179344,0.23242892350686128,0.23242892350686128,0.40650176224344037
氧化钠(Na2O),氧化铁(Fe2O3),0.014024600816578359,-0.21661685404370737,-0.23064145486028573,0.23064145486028573,0.4310267902228535
氧化钙(CaO),氧化镁(MgO),-0.39428404249462623,-0.17085810703114526,0.22342593546348097,0.22342593546348097,0.41125692431333327
氧化镁(MgO),氧化锶(SrO),0.30325048847530234,0.08647052572164633,-0.21677996275365602,0.21677996275365602,0.4463770530299396
氧化钡(BaO),氧化锡(SnO2),-0.22141799976355364,-0.005468158562006831,0.2159498412015468,0.2159498412015468,0.4600074684248707
氧化钾(K2O),氧化铅(PbO),-0.14654544362075156,-0.3612108880303886,-0.21466544440963703,0.21466544440963703,0.4378669281474703
氧化铝(Al2O3),氧化锶(SrO),-0.2808342180715125,-0.4941622412965229,-0.21332802322501043,0.21332802322501043,0.39488853528589907
氧化钾(K2O),氧化铜(CuO),-0.3376045211480646,-0.13477181643800304,0.20283270471006157,0.20283270471006157,0.4679888268478307
氧化钾(K2O),氧化铁(Fe2O3),-0.3216215931490447,-0.12195437297367218,0.19966722017537253,0.19966722017537253,0.4781522104359688
氧化钙(CaO),五氧化二磷(P2O5),-0.17409469212759476,0.024496332451035694,0.19859102457863045,0.19859102457863045,0.500340564443408
氧化钙(CaO),氧化铅(PbO),-0.14288464785852192,0.05005274122837615,0.19293738908689806,0.19293738908689806,0.514175935166286
氧化铝(Al2O3),二氧化硫(SO2),0.07733850850993995,-0.10803764945227619,-0.18537615796221613,0.18537615796221613,0.5317012039001585
二氧化硅(SiO2),二氧化硫(SO2),0.09938428202019232,-0.07666737556562116,-0.17605165758581348,0.17605165758581348,0.5526990983246884
氧化钾(K2O),氧化锡(SnO2),0.11706026008868585,-0.05663288378342739,-0.17369314387211324,0.17369314387211324,0.5577469117383971
五氧化二磷(P2O5),氧化锶(SrO),-0.16610030027272962,0.003970605097890765,0.1700709053706204,0.1700709053706204,0.5637936166652628
氧化铜(CuO),二氧化硫(SO2),0.14297393200964048,0.3119021704782631,0.1689282384686226,0.1689282384686226,0.5478513571107575
氧化钾(K2O),氧化钙(CaO),-0.21158626829548022,-0.3788011013945254,-0.16721483309904517,0.16721483309904517,0.5364043183493228
氧化铁(Fe2O3),氧化铅(PbO),-0.3079755284885661,-0.14508595636226707,0.162889572126299,0.162889572126299,0.5625086035619651
氧化锡(SnO2),二氧化硫(SO2),0.017252216064192197,-0.14310527541058654,-0.16035749147477873,0.16035749147477873,0.5873672367273419
氧化钠(Na2O),氧化锡(SnO2),-0.006682836144668988,-0.16409150219171004,-0.15740866604704104,0.15740866604704104,0.5930372462488149
氧化钙(CaO),二氧化硫(SO2),0.22657085263508414,0.07770741699253386,-0.14886343564255028,0.14886343564255028,0.6075361003217385
氧化铜(CuO),五氧化二磷(P2O5),-0.038840952309533196,0.1057662787874186,0.14460723109695178,0.14460723109695178,0.6257255522859757
氧化铝(Al2O3),氧化铁(Fe2O3),-0.23680049742389964,-0.09315409993569847,0.14364639748820118,0.14364639748820118,0.6187544498039317
氧化钠(Na2O),氧化锶(SrO),-0.24465226078821192,-0.10425900053639947,0.14039326025181245,0.14039326025181245,0.6255980032726942
氧化镁(MgO),氧化铁(Fe2O3),-0.09980540949833802,0.03198675013141682,0.13179215962975485,0.13179215962975485,0.6567473109571633
氧化钠(Na2O),五氧化二磷(P2O5),-0.41508621529089257,-0.5465384552047738,-0.13145223991388127,0.13145223991388127,0.5636411893962183
二氧化硅(SiO2),氧化铝(Al2O3),0.9262136589074618,0.8002691667763405,-0.12594449213112124,0.12594449213112124,0.07373235305353498
二氧化硅(SiO2),氧化钠(Na2O),0.04441326911131582,0.1686222290853474,0.12420895997403159,0.12420895997403159,0.6722102134810961
二氧化硅(SiO2),氧化钾(K2O),-0.1470591941024528,-0.028068940719360724,0.11899025338309208,0.11899025338309208,0.6863729960983969
氧化镁(MgO),五氧化二磷(P2O5),-0.03743995815775638,-0.14339635606050327,-0.10595639790274688,0.10595639790274688,0.7191116015164181
氧化铜(CuO),氧化钡(BaO),-0.01760274435128859,0.0882936215402655,0.10589636589155409,0.10589636589155409,0.7211384082470118
氧化镁(MgO),氧化锡(SnO2),0.014139691705059397,0.11981954592456112,0.10567985421950173,0.10567985421950173,0.7208146208583837
氧化钠(Na2O),氧化铝(Al2O3),0.15616440771129259,0.05994423732954584,-0.09622017038174674,0.09622017038174674,0.7431354792943572
氧化钠(Na2O),氧化钾(K2O),0.1830872108432772,0.08755991761419044,-0.09552729322908676,0.09552729322908676,0.7432529744802323
氧化铝(Al2O3),氧化铜(CuO),0.17703801057826765,0.24803871124888235,0.0710007006706147,0.0710007006706147,0.8024159870028458
二氧化硅(SiO2),氧化铁(Fe2O3),-0.09889048267291756,-0.1689640780193721,-0.07007359534645455,0.07007359534645455,0.8102627607553514
五氧化二磷(P2O5),二氧化硫(SO2),0.13850446239559658,0.19955143708343853,0.061046974687841954,0.061046974687841954,0.8325513274351299
氧化钠(Na2O),二氧化硫(SO2),-0.28643792849218924,-0.2276238134940832,0.05881411499810604,0.05881411499810604,0.8321981417926507
氧化钾(K2O),五氧化二磷(P2O5),-0.24151194269233073,-0.296681207232325,-0.05516926453999427,0.05516926453999427,0.8413984131282601
氧化铜(CuO),氧化锡(SnO2),-0.5893951622307186,-0.6155345294114226,-0.026139367180703976,0.026139367180703976,0.8902055277219856
二氧化硅(SiO2),氧化铜(CuO),0.27381072275092183,0.29033956192642596,0.01652883917550413,0.01652883917550413,0.9518384952413548
氧化钠(Na2O),氧化铜(CuO),0.005678830563923206,0.013952199501774759,0.008273368937851553,0.008273368937851553,0.9777991116836704
